,Ngram Term,count
0,r co,559
1,iphone 1,476
2,water bottle,286
3,plus size,282
4,phone 12,266
5,iphone 12,264
6,year old,248
7,room decor,217
8,shirts men,211
9,apple watch,208
10,screen protector,205
11,phone 11,202
12,dress women,200
13,iphone 11,199
14,shoes women,197
15,tops women,182
16,phone case,177
17,2 pro,174
18,face mask,167
19,12 pro,167
20,party supplies,166
21,dresses women,164
22,lunch box,162
23,suits women,158
24,pro max,154
25,shorts women,152
26,shoes men,148
27,bathing suit,143
28,shirts women,137
29,sandals women,132
30,watch band,131
31,samsung galaxy,130
32,usb c,129
33,party decor,125
34,living room,123
35,tank top,123
36,party decoration,121
37,e cream,120
38,party decorations,120
39,nail polish,120
40,shower curtain,118
41,air condition,115
42,one x,114
43,car seat,111
44,wall decor,108
45,air conditioner,107
46,iphone x,107
47,bed frame,106
48,rings women,105
49,dog food,102
50,gift card,102
51,heavy duty,101
52,human h,101
53,human hair,100
54,birthday decor,98
55,birthday gift,98
56,birthday decoration,97
57,funko pop,96
58,birthday decorations,96
59,bags women,94
60,teen girl,94
61,old girl,94
62,shorts men,93
63,harry potter,93
64,x case,92
65,high waist,92
66,size 1,90
67,birthday party,89
68,para mujer,89
69,baby girl,89
70,e cloth,87
71,nintendo switch,87
72,old boy,87
73,large dog,87
74,essential oil,86
75,small dog,83
76,tank tops,82
77,baby show,82
78,pants women,82
79,swimsuits women,82
80,water bottles,82
81,teen girls,82
82,shampoo conditioner,82
83,cell phone,81
84,wear women,81
85,baby shower,81
86,pro case,80
87,wall mount,77
88,one piece,77
89,body wash,77
90,phone charger,76
91,outfits women,75
92,fidget toy,75
93,flip flop,73
94,kids age,72
95,seat cover,72
96,max case,72
97,king size,72
98,weight loss,71
99,flip flops,71
100,high waisted,71
101,glasses women,70
102,kids ages,69
103,bras women,69
104,2 case,69
105,day gifts,69
106,de mujer,69
107,stainless steel,69
108,queen size,68
109,gifts women,68
110,set 2,68
111,phone holder,68
112,x 1,67
113,e gift,67
114,suit women,67
115,storage container,67
116,para hombre,67
117,bathing suits,67
118,birthday gifts,67
119,coffee maker,66
120,stuffed animal,66
121,light bulb,66
122,gel nail,66
123,full size,65
124,security camera,65
125,cat food,65
126,action figure,65
127,ring light,65
128,large dogs,65
129,water filter,64
130,sports bra,64
131,protein powder,64
132,11 pro,64
133,women summer,63
134,11 case,63
135,led light,63
136,ice cream,63
137,baby boy,62
138,phone xr,61
139,tummy control,61
140,e girl,61
141,men sex,60
142,hair product,60
143,socks women,60
144,2 inch,60
145,vibrating machine,60
146,hair products,59
147,earrings women,59
148,small dogs,59
149,iphone xr,59
150,cake topper,59
151,k cup,59
152,party favor,58
153,hair clip,58
154,lunch bag,58
155,dry erase,58
156,5 inch,58
157,r ball,58
158,long sleeve,58
159,storage bin,58
160,watches men,58
161,2 year,57
162,e oil,57
163,picture frame,57
164,pants men,56
165,rose gold,56
166,wall art,56
167,bands women,55
168,glasses men,55
169,memory foam,55
170,star wars,55
171,dog toy,55
172,card holder,55
173,coffee table,55
174,1 year,55
175,shower head,55
176,case iphone,55
177,maxi dress,55
178,ground pool,54
179,socks men,54
180,lace front,54
181,women sex,53
182,litter box,53
183,hats men,53
184,2 piece,53
185,smart tv,53
186,car ac,53
187,party favors,52
188,inch tv,52
189,sunglasses women,52
190,xbox one,52
191,storage containers,52
192,ar accessories,52
193,mens g,51
194,iphone charge,51
195,office chair,51
196,pad pro,51
197,dog collar,51
198,pillow cover,51
199,mattress topper,50
200,shirt women,50
201,watch se,50
202,ice pack,50
203,face masks,50
204,size bed,50
205,iphone charger,50
206,3 inch,49
207,running shoe,49
208,ceiling fan,49
209,e phone,49
210,throw pillow,49
211,acrylic nail,49
212,air mattress,49
213,mens shoe,49
214,ipad pro,49
215,tooth speaker,49
216,tv stand,49
217,summer dress,48
218,vacuum cleaner,48
219,mens shoes,48
220,underwear women,48
221,front wig,48
222,jeans women,47
223,school supplies,47
224,pack women,47
225,storage bins,47
226,seat covers,47
227,sex toy,47
228,curtain rod,47
229,crop top,47
230,car accessories,46
231,boots men,46
232,phone 8,46
233,sets women,46
234,laundry detergent,46
235,running shoes,46
236,air fryer,46
237,hard drive,45
238,steering wheel,45
239,trash bag,45
240,pool float,45
241,comforter set,45
242,dog bed,45
243,set 4,45
244,bluetooth speaker,45
245,iphone 8,45
246,g pro,44
247,4 inch,44
248,pressure washer,44
249,sd card,44
250,paper towel,44
251,sugar free,43
252,sunglasses men,43
253,ipad air,43
254,boots women,43
255,golf ball,43
256,watch bands,43
257,life jacket,43
258,hair removal,43
259,mouse pad,43
260,book pro,43
261,air purifier,42
262,6 month,42
263,room rug,42
264,water shoe,42
265,toilet paper,42
266,tote bag,42
267,women sexy,42
268,4 pack,42
269,n pan,42
270,k cups,41
271,soap dispenser,41
272,foam mat,41
273,necklaces women,41
274,95 mask,41
275,drawer organizer,41
276,3 year,41
277,charger c,41
278,area rug,41
279,nose ring,41
280,book air,40
281,string light,40
282,pain relief,40
283,gifts men,40
284,12 case,40
285,best seller,40
286,fanny pack,40
287,macbook pro,40
288,organizers storage,39
289,watch series,39
290,backpack girls,39
291,air dry,39
292,heels women,39
293,queen bed,39
294,diaper bag,39
295,remote control,39
296,season 1,38
297,hair dye,38
298,2 pack,38
299,twin xl,38
300,bean bag,38
301,body bag,38
302,skirts women,38
303,foam mattress,38
304,biker short,38
305,backpack women,38
306,clothes women,38
307,extra large,38
308,fish tank,38
309,license plate,38
310,vitamin c,38
311,macbook air,38
312,mens short,38
313,kids w,37
314,ring lights,37
315,pillow covers,37
316,lash extension,37
317,air freshener,37
318,two piece,37
319,hair clips,37
320,cat litter,37
321,water shoes,37
322,white dress,37
323,side table,37
324,men dress,37
325,shoe rack,37
326,wireless ear,36
327,mens swim,36
328,smart watch,36
329,ice maker,36
330,crossbody bag,36
331,food storage,36
332,string lights,36
333,c car,36
334,door lock,36
335,toddler girl,36
336,ink cartridge,36
