,Ngram Term,count
0,n,980
1,l,811
2,c,784
3,b,520
4,k,402
5,men,196
6,se,193
7,ac,181
8,co,151
9,women,144
10,de,126
11,x,80
12,one,77
13,air,67
14,z,62
15,us,58
16,phone,56
17,dress,54
18,car,44
19,sp,44
20,case,41
21,hair,40
22,pro,38
23,iphone,38
24,pack,35
25,1,34
26,shoe,34
27,room,33
28,mens,33
29,back,31
30,top,30
31,2,30
32,ear,30
33,shoes,30
34,decor,29
35,toy,29
36,table,29
37,light,28
38,old,28
39,set,28
40,chair,26
41,go,26
42,bed,26
43,ring,25
44,bag,25
45,toys,25
46,backpack,25
47,box,24
48,dresses,24
49,water,23
50,bra,23
51,kit,23
52,movie,22
53,book,22
54,bath,22
55,movies,21
56,ice,20
57,mask,20
58,mat,20
59,dog,20
60,storage,19
61,head,19
62,sun,19
63,accessories,19
64,sand,19
65,womens,19
66,desk,19
67,beach,18
68,chi,18
69,board,18
70,suit,18
71,baby,18
72,summer,18
73,art,18
74,nail,18
75,sandals,17
76,end,17
77,sha,17
78,wall,17
79,pop,16
80,blue,16
81,organizer,16
82,pen,16
83,tops,16
84,man,16
85,pad,15
86,shorts,15
87,glass,15
88,doo,15
89,3,15
90,plus,15
91,cam,15
92,pre,15
93,cover,15
94,fan,14
95,pill,14
96,stand,14
97,card,14
98,gaming,14
99,lip,14
100,stick,14
101,door,14
102,lights,14
103,iv,14
104,watch,13
105,lace,13
106,app,13
107,size,13
108,king,13
109,gift,13
110,swim,13
111,max,13
112,kids,13
113,glasses,13
114,holder,13
115,pool,13
116,shirt,13
117,paper,12
118,bluetooth,12
119,cat,12
120,band,12
121,oil,12
122,machine,11
123,hat,11
124,5,11
125,chairs,11
126,girl,11
127,rings,11
128,amazon,11
129,pillow,11
130,shoes women,11
131,frame,10
132,dry,10
133,shirts,10
134,key,10
135,bottle,10
136,iphone 12,10
137,outdoor,10
138,clothes,10
139,lap,10
140,ball,10
141,game,10
142,sex,10
143,mouse,10
144,war,10
145,face,10
146,wireless,10
147,bathroom,10
148,press,10
149,kitchen,10
150,mattress,10
151,12,10
152,pencil,10
153,black,10
154,rack,10
155,food,9
156,room decor,9
157,tea,9
158,sandals women,9
159,ski,9
160,supplies,9
161,charger,9
162,roller,9
163,apple,9
164,bar,9
165,shoes men,9
166,towel,9
167,masks,9
168,curtain,9
169,tv,9
170,coffee,9
171,body,9
172,white,9
173,11,8
174,laptop,8
175,airpod,8
176,games,8
177,maker,8
178,books,8
179,shower,8
180,neck,8
181,tank,8
182,fidget,8
183,tool,8
184,switch,8
185,wig,8
186,girls,8
187,headphones,8
188,bags,8
189,gel,8
190,wedding,8
191,plus size,8
192,pods,8
193,ipad,8
194,8,8
195,lamp,8
196,rug,8
197,covers,7
198,adult,7
199,tent,7
200,queen,7
201,9,7
202,gifts,7
203,office,7
204,play,7
205,hats,7
206,bed frame,7
207,iphone 11,7
208,tops women,7
209,spa,7
210,camera,7
211,day,7
212,dresses women,7
213,12 pro,7
214,face mask,7
215,brace,7
216,iphone 12 pro,7
217,para,7
218,nintendo,7
219,boy,7
220,cut,7
221,essential,7
222,night,7
223,sunglasses,7
224,vacuum,7
225,clip,7
226,sets,7
227,control,7
228,packs,7
229,bb,7
230,mini,7
231,eye,7
232,pit,7
233,tens,7
234,ups,6
235,high,6
236,pain,6
237,water bottle,6
238,rc,6
239,tablet,6
240,xbox,6
241,hand,6
242,makeup,6
243,speaker,6
244,weight,6
245,camping,6
246,power,6
247,part,6
248,school,6
249,socks,6
250,lock,6
251,brush,6
252,essentials,6
253,waist,6
254,stuff,6
255,necklace,6
256,nintendo switch,6
257,lunch,6
258,mirror,6
259,cable,6
260,polish,6
261,suits,6
262,summer dress,6
263,jewelry,6
264,shorts women,6
265,bike,6
266,cleaner,6
267,monitor,6
268,shelves,6
269,doll,6
270,tom,6
271,backpacks,6
272,decorations,6
273,towels,6
274,workout,6
275,portable,6
276,star,6
277,corn,6
278,bathing,6
279,pro max,6
280,led,6
281,pc,6
282,travel,6
283,nike,6
284,swimsuit,6
285,bathing suit,6
286,rv,5
287,phone case,5
288,butt,5
289,cube,5
290,pillows,5
291,men's,5
292,lego,5
293,place,5
294,vera,5
295,party,5
296,cock,5
297,trash,5
298,luggage,5
299,fish,5
300,airpods,5
301,trap,5
302,knife,5
303,2021,5
304,tank top,5
305,birthday,5
306,lingerie,5
307,rugs,5
308,wash,5
309,tools,5
310,cups,5
311,sd,5
312,skin,5
313,toilet,5
314,macbook,5
315,pot,5
316,basket,5
317,headband,5
318,plant,5
319,bracelet,5
320,controller,5
321,rtx,5
322,iphone x,5
323,apple watch,5
324,face masks,5
325,golf,5
326,water shoes,5
327,cool,5
328,massage,5
329,house,5
330,cord,5
331,bedroom,5
332,love,5
333,kindle,5
334,conditioner,5
335,wallet,5
336,umbrella,5
337,cards,5
338,gua,5
339,protector,5
340,keyboard,5
341,patio,5
342,paint,5
343,mold,5
344,n95,5
345,samsung,5
346,screen,5
347,mens shoes,4
348,bluetooth speaker,4
349,tape,4
350,iphone 8,4
351,bottles,4
352,summer dresses,4
353,pro case,4
354,maxi,4
355,care,4
356,maxi dress,4
357,ali,4
358,outfits women,4
359,electric,4
360,anime,4
361,ends,4
362,&,4
363,movies 2021,4
364,year old,4
365,shampoo,4
366,spray,4
367,blanket,4
368,jump,4
369,piece,4
370,closet,4
371,crop,4
372,garden,4
373,laundry,4
374,phone charger,4
375,air conditioner,4
376,midi,4
377,container,4
378,jack,4
379,shower curtain,4
380,kawaii,4
381,outfits,4
382,casual,4
383,olds,4
384,tank tops,4
385,float,4
386,powder,4
387,fly,4
388,ps5,4
389,casual summer,4
390,dolls,4
391,human,4
392,earrings,4
393,purse,4
394,furniture,4
395,watches,4
396,making,4
397,nail polish,4
398,buds,4
399,bands,4
400,prime,4
401,wigs,4
402,vitamin,4
403,micro,4
404,seat,4
405,pants,4
406,nail kit,4
407,computer,4
408,teen,4
409,cream,4
410,lunch box,4
411,stool,4
412,hop,4
413,fire,4
414,foot,4
415,usb,4
416,vibrator,4
417,dish,4
418,bras,4
419,notebook,4
420,jam,4
421,paraguard,4
422,boards,4
423,full,4
424,clear,4
425,gift card,4
426,underwear,4
427,protein,4
428,orders,4
429,adidas,4
430,new,4
431,printer,4
432,litter,4
433,christmas,4
434,home,4
435,heels,4
436,tag,4
437,shelf,4
438,stickers,4
439,dresser,4
440,gun,4
441,rio,4
442,10,4
443,mount,4
444,scrub,4
445,sofa,4
446,breast,4
447,croc,4
448,7,4
449,adults,4
450,year,4
451,high waist,4
452,12 pro max,4
453,spiral,4
454,cap,4
455,massager,3
456,seat cover,3
457,x case,3
458,school supplies,3
459,hole,3
460,chicken,3
461,cameras,3
462,crocs,3
463,yeti,3
464,space,3
465,wheel,3
466,molds,3
467,ring light,3
468,cabinet,3
469,bean,3
470,wipes,3
471,diamond,3
472,quiet place,3
473,projector,3
474,pit viper,3
475,plants,3
476,comforter,3
477,silicone,3
478,socket,3
479,switch game,3
480,nails,3
481,cooler,3
482,rod,3
483,living,3
484,butter,3
485,sexy,3
486,hair clip,3
487,pots,3
488,college,3
489,hammock,3
490,vanity,3
491,hoop,3
492,sd card,3
493,frames,3
494,coffee maker,3
495,chain,3
496,espresso,3
497,vans,3
498,tattoo,3
499,folding,3
500,earbuds,3
501,aa,3
502,probiotic,3
503,iphone charger,3
504,shirts women,3
505,fishing,3
506,strip,3
507,life,3
508,women casual,3
509,loss,3
