Search Term,01,02,03,04,05,06,07,08,09,10,11,12,方差,均值
iphone 11 case,6.7419,8.1786,11.4,15.4,28.8387,18.1,6.4286,15.0,12.8333,28.5667,38.8846,0,0.0759,15.8644
pop it,13.0645,11.5714,7.7,1.7,2.2581,3.2667,541.1786,844.4194,3.6,11.7,320.7308,0,0.0994,146.7658
iphone 12 pro max case,2.7419,36.2143,90.4333,50.9333,89.5806,216.9,9.1071,8.7097,7.3667,28.7667,66.2308,0,0.0742,50.582
dresses,266.0323,221.0714,102.4667,52.7,13.2581,15.4,11.3571,37.6774,16.5333,130.0667,107.5,0,0.0996,81.1719
apple watch band,360.9032,63.2143,17.8667,17.4333,12.1935,36.2,41.2143,23.5806,10.4667,19.5667,27.9615,0,0.0683,52.5501
fidget toys,11.7097,14.6429,15.6333,7.4667,3.2903,29.5,19.1429,67.3548,123.0,137.8667,41.9615,0,0.1044,39.2974
desk,6.0,10.1786,10.4667,13.4333,17.2258,18.4333,10.2143,12.0968,12.2333,29.9333,28.4615,0,0.0745,14.0564
earbuds,16.4839,12.25,7.6667,9.3,8.5161,7.0333,6.0,5.9677,11.7333,15.2667,15.4231,0,0.0782,9.6367
bluetooth headphones,14.4839,8.9286,3.6333,5.9667,6.5806,5.7333,4.6429,14.0323,15.4667,23.0667,30.2692,0,0.0774,11.067
iphone,11.2258,4.1429,3.2667,3.9667,4.9032,5.5,5.3214,9.2581,8.1333,14.2333,11.1923,0,0.0754,6.762
fidget packs,14999.871,11631.9286,1636.6667,254.6,854.0,13.1,8.6429,677.3548,1951.5,3464.3333,4271.6538,0,0.0987,3313.6376
crocs,95.5161,97.6071,38.4667,17.5,13.9355,18.2333,12.3571,17.6129,36.2333,47.0,44.9615,0,0.0952,36.6186
laptop,27.6774,18.0714,6.5,44.1667,42.7742,18.9333,15.6071,21.4194,11.8,25.5667,7.0769,0,0.0869,19.9661
backpacks,5470.5806,5419.8571,4022.4,4572.1667,4471.4516,1605.0667,82.0714,25.6452,173.2333,484.0667,3378.4615,0,0.159,2475.4167
summer dress for women,0.0,0.0,0.0,0.0,0.0,0.0,23.1667,53.871,1294.0333,6957.6,3773.8462,0,0.0897,1008.5431
ps5,8.8065,7.75,10.1,26.5,26.129,14.0,19.25,24.9677,21.2,34.2667,22.7692,0,0.0765,17.9783
water bottles,1801.2903,1844.1786,1365.0,1168.1333,769.0,36.8,19.4286,19.6774,30.1333,61.0,72.9615,0,0.1512,598.9669
apple,35.2258,19.3214,17.5667,16.6333,13.8065,10.7667,13.1429,25.2258,20.6,895.0,670.4615,0,0.1043,144.8125
car accessories,42.0323,30.3214,13.2667,21.1,32.871,29.9333,30.8929,51.9355,34.6667,82.1,117.1923,0,0.0662,40.526
iphone xr case,724.6129,627.2857,496.3667,680.1667,442.4516,90.7667,91.0714,80.0968,95.8,134.1333,159.6154,0,0.1278,301.8639
face mask,3.2581,3.7143,12.6,17.9667,38.8065,74.3333,30.4286,3.3548,22.6,52.2333,105.9615,0,0.0878,30.4381
womens dresses,1603.0968,773.3929,89.2667,54.0333,196.6452,351.8,30.6071,24.3548,51.8333,454.8667,1006.4615,0,0.09,386.3632
office chair,21.0323,21.2143,25.1,35.3333,65.3226,53.9,43.9643,28.129,38.4,74.2333,67.6538,0,0.0829,39.5236
led lights for bedroom,16.8387,23.7857,22.5333,39.8333,34.1935,31.3333,76.7143,304.1935,109.9333,102.6,28.7692,0,0.0674,65.894
power bank,43.6774,23.1429,22.3667,25.7667,20.0323,16.9667,16.0,26.3548,32.4667,45.5667,52.1154,0,0.0712,27.038
rose toy for women,36815.7742,6967.8214,213.0333,79.9333,69.0645,86.5,88.6786,129.3871,156.6,166.4,213.8462,0,0.076,3748.9199
womens summer tops,26365.5484,7807.8214,957.9667,451.3333,105.0968,16.4333,36.8571,753.7742,66845.7,150603.5333,160047.6923,0,0.1277,34499.3131
room decor,38.6774,30.4286,39.2333,42.6,68.1935,67.0,31.8929,49.2258,59.3333,84.4,65.8462,0,0.0656,48.0693
shower curtains,2298.4839,2600.0357,2005.2,2152.1333,1699.8065,1495.4,751.0357,2461.3548,3061.1,4026.0333,3937.1154,0,0.0774,2207.3082
nintendo switch,19.3548,21.3571,18.2333,37.2333,42.2903,42.3,58.9286,53.5161,41.0,24.0,7.1923,0,0.0875,30.4505
outdoor lights,52.7097,52.75,22.6,21.8333,16.5161,12.9333,19.3571,38.4516,44.8,55.9333,71.8462,0,0.0831,34.1442
mini fridge,115.2903,121.3214,114.5667,99.7333,72.5161,66.3667,43.9643,51.1935,73.5333,113.1,93.8077,0,0.0828,80.4494
luggage,964.9355,571.7143,194.9,159.5667,111.3548,64.8,56.5357,147.7742,217.7667,225.6333,197.3077,0,0.071,242.6907
space jam,18002.4194,7117.5357,6987.5333,4543.8333,4327.2258,2453.0667,248.6071,359.4839,1321.1667,2385.8333,3656.6538,0,0.0694,4283.6132
lego,56.4839,55.4286,62.1,61.8333,56.129,38.5,40.3214,52.0645,46.5667,37.3667,22.9615,0,0.0782,44.1463
ipad,42.5806,28.25,36.1667,42.9,44.1935,40.2,45.1786,44.8387,31.7333,31.4667,17.5769,0,0.0821,33.7571
iphone 12 pro case,45.0323,60.5714,113.5667,66.7667,58.7419,166.4667,121.9643,101.8065,103.8667,187.3,305.1538,0,0.0633,110.9364
headphones,51.871,55.6786,59.1667,53.7667,59.5161,55.4,38.6071,40.4516,54.5667,2588.6,61.6154,0,0.0736,259.9367
anker,62.9032,43.8571,40.3667,42.4667,33.1613,27.0,29.1429,49.6452,54.6333,65.7,63.1154,0,0.0752,42.666
gaming chair,6.2581,8.9643,11.5667,13.3,31.6452,47.8,55.5,57.7097,42.6667,49.7,26.3846,0,0.1206,29.2913
school supplies,2257.129,2576.4643,2706.0,2737.3333,2294.0,1207.1,119.7857,101.0323,1283.8333,3582.6667,4053.5385,0,0.1036,1909.9069
my orders,363.1935,406.4643,275.3,120.3,183.4194,223.7667,63.0,51.4516,38.5,33.4333,45.7308,0,0.1064,150.38
dildo,100.129,114.4643,103.4667,74.7333,64.4194,75.5,225.3571,184.9032,102.6333,307.4333,240.7308,0,0.0754,132.8142
iphone 12 case,33.1935,42.7143,30.9,33.2667,31.5806,69.5,40.7143,30.129,47.5333,67.4667,79.8846,0,0.0674,42.2403
shoe rack,84.129,119.5714,98.2333,142.0,112.6774,218.5,83.6786,55.5161,67.6,104.6333,132.2308,0,0.054,101.5642
lightning cable,76.3226,47.6786,45.5667,52.3333,35.7742,54.1333,50.3214,53.8065,54.0,72.1667,105.6538,0,0.0513,53.9798
summer dress,4758.1935,548.6071,270.3333,263.7667,115.9032,92.7333,155.9286,692.3548,5375.1333,12939.4667,13623.5385,0,0.1256,3236.3299
portable charger,37.5806,25.7143,19.9333,27.9,21.7097,31.7,27.2143,27.4839,24.5667,36.9667,43.7692,0,0.0579,27.0449
dresser,112.2581,124.4286,84.4333,113.7333,129.3871,136.3,67.4643,69.5161,110.4,143.3667,170.7308,0,0.0629,105.1682
horror movies,146.5161,79.6429,76.4333,70.8667,53.7419,75.5333,34.2857,52.4194,49.4667,42.3,138.3077,0,0.0722,68.2928
pop its,2340.9355,1753.8214,854.5,273.2333,42.8387,50.8667,41.3214,83.4194,59.0667,116.5333,146.2692,0,0.101,480.2338
dress,118.9677,208.5,168.5667,124.0333,69.2903,76.9667,1335.8929,144.3548,107.2333,204.1667,250.0,0,0.0643,233.9977
toys,207.5484,176.0,149.1667,115.3,121.0,111.6667,415.75,554.5161,93.4333,437.3333,35.7692,0,0.0898,201.457
apple watch,37.6452,43.5,33.0333,33.3333,32.6129,30.3,48.7857,44.0645,36.0,33.9,20.6538,0,0.0617,32.8191
bathroom decor,91.0645,113.5357,69.7333,85.8,152.4516,112.9333,60.2143,74.8065,102.6333,179.0667,613.6154,0,0.0596,137.9879
usb c hub,90.0323,59.1786,46.9667,77.7333,50.1935,43.7667,39.3214,51.1935,65.3667,98.5,112.5769,0,0.0665,61.2358
candy,98.2258,49.1071,73.4,85.5667,77.1613,107.4667,452.0,169.3226,74.4667,302.5333,337.5769,0,0.0849,152.2356
fan,792.8065,679.25,371.3333,217.4,188.2258,34.8667,149.4643,270.9355,253.9667,666.0,1006.7308,0,0.0939,385.915
tv,66.7097,81.5714,76.8667,93.4667,97.3548,54.2667,114.8571,112.7097,73.2333,98.0,59.3462,0,0.0678,77.3652
backpack,306.7742,272.9643,206.1667,190.5667,199.2258,218.7667,85.1786,48.0,293.2333,482.6,240.6923,0,0.0651,212.014
maternity dress,334.9355,170.2143,71.6,352.0667,482.9677,356.5,85.4643,117.0968,81.1,134.9,301.1154,0,0.0897,207.3301
desk chair,64.2581,52.4643,68.7667,98.2,180.9032,140.8667,83.1786,53.5484,90.4667,191.5667,215.3846,0,0.0841,103.3003
simple dimple,433.1935,470.5357,292.0333,190.9667,123.7097,196.4,1129.6071,145.8065,205.8333,512.0333,696.5769,0,0.0693,366.3913
gift cards,1280.0968,1172.5357,1168.8,1057.5,411.2903,32.2333,73.7857,49.129,58.0333,82.8667,43.5385,0,0.1643,452.4841
protein powder,195.9677,179.4643,188.6667,152.8667,100.7419,88.1,91.0357,96.3548,111.9333,145.7667,215.8462,0,0.0731,130.562
iphone charger,99.7097,36.3929,47.1333,42.9333,120.4194,162.9667,73.25,125.0,73.5333,99.0667,89.6538,0,0.0697,80.8383
fidgets,400.5161,281.2143,127.1667,24.7333,63.1935,55.3,53.4286,18.9355,33.1,81.7,116.2692,0,0.0813,104.6298
movies,227.4194,95.6071,485.4333,184.0,98.1613,102.6667,52.5714,87.7097,100.6667,155.8,210.5385,0,0.06,150.0478
gaming pc,73.9032,71.3929,52.8,65.9,80.2581,78.6667,79.0357,123.6774,158.6667,151.6,105.4231,0,0.0688,86.777
spongebob squarepants,291.5161,153.3929,96.8333,128.4667,128.0645,134.9667,74.5714,155.0,185.0667,470.2667,92.9231,0,0.0596,159.2557
iphone 8 case,588.8065,605.3214,451.0,539.5333,642.3226,1362.8,315.8929,750.7419,813.9333,821.3,957.4231,0,0.0566,654.0896
tv stand,72.5484,81.5714,67.5,73.3,68.6774,62.6,88.4286,67.3226,75.0,91.0667,89.2692,0,0.0633,69.7737
monitor,86.5161,111.2143,101.8,163.0333,98.4516,98.1333,129.2143,176.2258,105.4667,280.2667,120.2692,0,0.0507,122.5493
baby essentials,10158.3548,9455.3571,9532.9,10366.1667,6202.129,345.8667,84.4643,160.5161,1040.8,2132.2667,1897.9231,0,0.1697,4281.3954
fidget,905.1613,561.6429,337.0667,121.8,75.3871,106.6,83.7143,227.1935,270.7,447.7333,522.3462,0,0.0783,304.9454
lunch box,1066.2581,1147.25,821.8667,803.0,1015.3548,503.3333,162.6786,32.4839,125.6667,342.7667,556.3077,0,0.1218,548.0805
dog toys,117.7419,106.7143,104.0667,109.4333,142.3871,166.9667,85.7857,107.6774,111.9667,146.7333,70.1923,0,0.0592,105.8054
gel nail polish,107.5484,121.6429,133.4,168.1667,184.5484,177.3,121.7143,157.2258,179.3333,175.3333,206.3077,0,0.0642,144.3767
ps4 controller,84.4194,87.9286,60.3667,88.1667,263.6774,254.2333,68.6786,119.0968,107.0667,198.1333,135.8462,0,0.0827,122.3011
coffee table,121.0323,148.3571,104.0,104.6,157.6129,149.6,180.3571,72.6129,98.7,143.0,138.7692,0,0.0645,118.2201
iphone 11 screen protector,992.6129,1808.0714,609.7333,1311.9,1265.5484,1644.1333,717.5714,1075.7742,503.0,699.0,983.0385,0,0.0713,967.532
earrings,342.3871,201.1429,195.3333,243.2667,210.8387,140.1667,91.5714,125.0968,204.9,250.9333,262.5,0,0.0628,189.0114
