Search Term,均值,方差,斜率
iphone 11 case,15.8644,0.0759,"{'11': 0.765, '5': 0.484}"
pop it,146.7658,0.0994,"{'8': 0.857, '11': 0.556}"
iphone 12 pro max case,50.582,0.0742,"{'3': 0.341, '11': 0.325, '6': 1.066}"
dresses,81.1719,0.0996,{'11': 0.287}
apple watch band,52.5501,0.0683,{}
fidget toys,39.2974,0.1044,{'10': 0.456}
desk,14.0564,0.0745,"{'11': 0.525, '6': 0.178}"
earbuds,9.6367,0.0782,{'11': 0.477}
bluetooth headphones,11.067,0.0774,{'11': 0.738}
iphone,6.762,0.0754,{'10': 0.535}
fidget packs,3313.6376,0.0987,{'11': 0.196}
crocs,36.6186,0.0952,"{'2': 0.324, '11': 0.251}"
laptop,19.9661,0.0869,"{'8': 0.24, '10': 0.521, '5': 0.301}"
backpacks,2475.4167,0.159,"{'11': 0.838, '5': 0.28}"
summer dress for women,1008.5431,0.0897,{'10': 1.043}
ps5,17.9783,0.0765,"{'8': 0.222, '10': 0.549, '5': 0.188}"
water bottles,598.9669,0.1512,{'2': 0.153}
apple,144.8125,0.1043,{'10': 1.102}
car accessories,40.526,0.0662,"{'8': 0.253, '11': 0.799}"
iphone xr case,301.8639,0.1278,"{'11': 0.145, '4': 0.418}"
face mask,30.4381,0.0878,"{'11': 1.007, '6': 0.542}"
womens dresses,386.3632,0.09,"{'11': 0.658, '6': 0.197}"
office chair,39.5236,0.0829,"{'11': 0.544, '5': 0.481}"
led lights for bedroom,65.894,0.0674,{'8': 1.067}
power bank,27.038,0.0712,"{'11': 0.626, '4': 0.12}"
rose toy for women,3748.9199,0.076,{}
womens summer tops,34499.3131,0.1277,{'11': 0.559}
room decor,48.0693,0.0656,"{'10': 0.407, '6': 0.222}"
shower curtains,2207.3082,0.0774,"{'2': 0.149, '11': 0.511, '4': 0.093, '6': 0.143}"
nintendo switch,30.4505,0.0875,{'7': 0.328}
outdoor lights,34.1442,0.0831,"{'2': 0.21, '11': 0.721}"
mini fridge,80.4494,0.0828,"{'10': 0.406, '3': 0.117}"
luggage,242.6907,0.071,{'11': 0.132}
space jam,4283.6132,0.0694,"{'11': 0.172, '5': 0.064}"
lego,44.1463,0.0782,"{'9': 0.163, '4': 0.05}"
ipad,33.7571,0.0821,{'8': 0.153}
iphone 12 pro case,110.9364,0.0633,"{'3': 0.25, '11': 0.886, '6': 0.426}"
headphones,259.9367,0.0736,{'10': 1.467}
anker,42.666,0.0752,"{'11': 0.52, '4': 0.103}"
gaming chair,29.2913,0.1206,"{'8': 0.169, '10': 0.324}"
school supplies,1909.9069,0.1036,"{'11': 0.616, '4': 0.062}"
my orders,150.38,0.1064,"{'2': 0.268, '11': 0.087, '6': 0.297}"
dildo,132.8142,0.0754,"{'10': 0.775, '3': 0.083, '7': 0.553}"
iphone 12 case,42.2403,0.0674,"{'2': 0.193, '11': 0.655, '6': 0.655}"
shoe rack,101.5642,0.054,"{'2': 0.211, '11': 0.429, '4': 0.267, '6': 0.793}"
lightning cable,53.9798,0.0513,"{'11': 0.817, '4': 0.142}"
summer dress,3236.3299,0.1256,{'11': 0.55}
portable charger,27.0449,0.0579,"{'11': 0.655, '4': 0.253, '6': 0.279}"
dresser,105.1682,0.0629,"{'2': 0.188, '11': 0.66, '6': 0.242}"
horror movies,68.2928,0.0722,"{'11': 1.127, '4': 0.096, '6': 0.289}"
pop its,480.2338,0.101,{}
dress,233.9977,0.0643,"{'11': 0.128, '7': 1.388}"
toys,201.457,0.0898,"{'8': 0.666, '10': 0.982}"
apple watch,32.8191,0.0617,"{'2': 0.227, '7': 0.427}"
bathroom decor,137.9879,0.0596,{'11': 1.208}
usb c hub,61.2358,0.0665,"{'11': 0.625, '4': 0.396}"
candy,152.2356,0.0849,"{'11': 0.451, '7': 1.075}"
fan,385.915,0.0939,"{'11': 0.838, '5': 0.105}"
tv,77.3652,0.0678,"{'8': 0.191, '10': 0.384, '5': 0.221}"
backpack,212.014,0.0651,"{'10': 0.643, '6': 0.179}"
